"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","n_duplicates","studyID"
"Chamberlain2014881","How context dependent are species interactions?",2014,1,1,"Ecology Letters","1461-023X, 1461-023X",17,NA,"881-890","Chamberlain, S.A. and Bronstein, J.L. and Rudgers, J.A.","10.1111/ele.12279",NA,NA,NA,"The net effects of interspecific species interactions on individuals and populations vary in both sign (-, 0, +) and magnitude (strong to weak). Interaction outcomes are context-dependent when the sign and/or magnitude change as a function of the biotic or abiotic context. While context dependency appears to be common, its distribution in nature is poorly described. Here, we used meta-analysis to quantify variation in species interaction outcomes (competition, mutualism, or predation) for 247 published articles. Contrary to our expectations, variation in the magnitude of effect sizes did not differ among species interactions, and while mutualism was most likely to change sign across contexts (and predation least likely), mutualism did not strongly differ from competition. Both the magnitude and sign of species interactions varied the most along spatial and abiotic gradients, and least as a function of the presence/absence of a third species. However, the degree of context dependency across these context types was not consistent among mutualism, competition and predation studies. Surprisingly, study location and ecosystem type varied in the degree of context dependency, with laboratory studies showing the highest variation in outcomes. We urge that studying context dependency per se, rather than focusing only on mean outcomes, can provide a general method for describing patterns of variation in nature.  2014."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR30"
"X.ISI.000330627800003","Influence of arbuscular mycorrhiza on growth and reproductive response of plants under water deficit: a meta-analysis",2014,1,1,"MYCORRHIZA","0940-6360",24,NA,"109-119","Jayne, Benjamin and Quigley, Martin","10.1007/s00572-013-0515-x",NA,NA,NA,"Despite a large body of literature that describes the effects of arbuscular mycorrhizal colonization on plant response to water deficit, reviews of these works have been mainly in narrative form, and it is therefore difficult to quantify the magnitude of the effect. We performed a meta-analysis to examine the effect of mycorrhizal colonization on growth and yield of plants exposed to water deficit stress. Data were compared in the context of annual vs. perennial plants, herbaceous vs. woody plants, field vs. greenhouse conditions, degree of stress, functional group, regions of plant growth, and mycorrhizal and host species. We found that, in terms of biomass measurements, mycorrhizal plants have better growth and reproductive response under water stress compared to non-mycorrhizal plants. When variables such as habit, life cycle, or water stress level are considered, differences in mycorrhizal effect on plant growth between variables are observed. While growth of both annual and perennial plants is improved by symbiosis, perennials respond more favorably to colonization than annuals. Overall, our meta-analysis reveals a quantifiable corroboration of the commonly held view that, under water-deficit conditions, plants colonized by mycorrhizal fungi have better growth and reproductive response than those that are not."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR31"
"Ngugi201131","Meta-analysis to determine the effects of plant disease management measures: Review and case studies on soybean and apple",2011,1,1,"Phytopathology","0031-949X",101,NA,"31-41","Ngugi, H.K. and Esker, P.D. and Scherm, H.","10.1094/PHYTO-03-10-0068",NA,NA,NA,"The continuing exponential increase in scientific knowledge, the growing availability of large databases containing raw or partially annotated information, and the increased need to document impacts of large-scale research and funding programs provide a great incentive for integrating and adding value to previously published (or unpublished) research through quantitative synthesis. Meta-analysis has become the standard for quantitative evidence synthesis in many disciplines, offering a broadly accepted and statistically powerful framework for estimating the magnitude, consistency, and homogeneity of the effect of interest across studies. Here, we review previous and current uses of meta-analysis in plant pathology with a focus on applications in epidemiology and disease management. About a dozen formal meta-analyses have been published in the plant pathological literature in the past decade, and several more are currently in progress. Three broad research questions have been addressed, the most common being the comparative efficacy of chemical treatments for managing disease and reducing yield loss across environments. The second most common application has been the quantification of relationships between disease intensity and yield, or between different measures of disease, across studies. Lastly, metaanalysis has been applied to assess factors affecting pathogen-biocontrol agent interactions or the effectiveness of biological control of plant disease or weeds. In recent years, fixed-effects meta-analysis has been largely replaced by random-(or mixed-) effects analysis owing to the statistical benefits associated with the latter and the wider availability of computer software to conduct these analyses. Another recent trend has been the more common use of multivariate meta-analysis or meta-regression to analyze the impacts of study-level independent variables (moderator variables) on the response of interest. The application of meta-analysis to practical problems in epidemiology and disease management is illustrated with case studies from our work on Phakopsora pachyrhizi on soybean and Erwinia amylovora on apple. We show that although meta-analyses are often used to corroborate and validate general conclusions drawn from more traditional, qualitative reviews, they can also reveal new patterns and interpretations not obvious from individual studies.  2011 The American Phytopathological Society."," RAYYAN-INCLUSION: {""Alfredo""=>true}",2,"lnRR32"
"X.ISI.000345306600001","Most soil trophic guilds increase plant growth: a meta-analytical review",2014,1,1,"OIKOS","",123,NA,"1409-1419","Kulmatiski, Andrew and Anderson-Smith, Andrew and Beard, Karen H. and Doucette-Riise, Stephen and Mazzacavallo, Michael and Nolan, Nicole E. and Ramirez, Ricardo A. and Stevens, John R.","10.1111/oik.01767",NA,NA,NA,"Trophic cascades are important drivers of plant and animal abundances in aquatic and aboveground systems, but in soils trophic cascades have been thought to be of limited importance due to omnivory and other factors. Here we use a meta-analysis of 215 studies with 1526 experiments that measured plant growth responses to additions or removals of soil organisms to test how different soil trophic levels affect plant growth. Consistent with the trophic cascade hypothesis, we found that herbivores and plant pathogens (henceforth pests) decreased plant growth and that predators of pests increased plant growth. The magnitude of this trophic cascade was similar to that reported for aboveground systems. In contrast, we did not find evidence for trophic cascades in decomposer- and symbiont-based (henceforth mutualist) food chains. In these food chains, mutualists increased plant growth and predators of mutualists also increased plant growth, presumably by increasing nutrient cycling rates. Therefore, mutualists, predators of mutualists and predators of pests all increased plant growth. Further, experiments that added multiple organisms from different trophic levels also increased plant growth. As a result, across the dataset, soil organisms increased plant growth 29\% and non-pest soil organisms increased plant growth 46\%. Omnivory has traditionally been thought to confound soil trophic dynamics, but here we suggest that omnivory allows for a simplified perspective of soil food webs - one in which most soil organisms increase plant growth by preying on pests or increasing nutrient cycling rates. An implication of this perspective is that processes that decrease soil organism abundance (e.g. soil tillage) are likely to decrease aboveground productivity. <boxed-text content-type={''}all{''"," RAYYAN-INCLUSION: {""Alfredo""=>true}",3,"lnRR33"
"Kulmatiski2008980","Plant-soil feedbacks: A meta-analytical review",2008,1,1,"Ecology Letters","1461-023X, 1461-023X",11,NA,"980-992","Kulmatiski, A. and Beard, K.H. and Stevens, J.R. and Cobbold, S.M.","10.1111/j.1461-0248.2008.01209.x",NA,NA,NA,"Plants can change soil biology, chemistry and structure in ways that alter subsequent plant growth. This process, referred to as plant-soil feedback (PSF), has been suggested to provide mechanisms for plant diversity, succession and invasion. Here we use three meta-analytical models: a mixed model and two Bayes models, one correcting for sampling dependence and one correcting for sampling and hierarchical dependence (delta-splitting model) to test these hypotheses. All three models showed that PSFs have medium to large negative effects on plant growth, and especially grass growth, the life form for which we had the most data. This supports the hypothesis that PSFs, through negative frequency dependence, maintain plant diversity, especially in grasslands. PSFs were also large and negative for annuals and natives, but the delta-splitting model indicated that more studies are needed for these results to be conclusive. Our results support the hypotheses that PSFs encourage successional replacements and plant invasions. Most studies were performed using monocultures of grassland species in greenhouse conditions. Future research should examine PSFs in plant communities, non-grassland systems and field conditions.  2008 Blackwell Publishing Ltd/CNRS."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR34"
"Chamberlain20092384","Quantitative synthesis of context dependency in ant-plant protection mutualisms",2009,1,1,"Ecology","0012-9658",90,NA,"2384-2392","Chamberlain, S.A. and Holl, Nathaniel and , J.","10.1890/08-1490.1",NA,NA,NA,"Context dependency, variation in the outcome of species interactions with biotic and abiotic conditions, is increasingly considered ubiquitous among mutualisms. Despite several qualitative reviews of many individual empirical studies, there has been little quantitative synthesis examining the generality of context dependency, or conditions that may promote it. We conducted a meta-analysis of ant-plant protection mutualisms to examine the generality of context-dependent effects of ants on herbivory and plant performance (growth, reproduction). Our results show that ant effects on plants are not generally context dependent, but instead are routinely positive and rarely neutral, as overall effect sizes of ants in reducing herbivory and increasing plant performance were positive and significantly greater than 0. The magnitude of these positive effects did vary, however. Variation in plant performance was not explained by the type of biotic or abiotic factor examined, including plant rewards (extrafloral nectar, food bodies, domatia), ant species richness, plant growth form, or latitude. With the exception of plant growth form, these factors did contribute to the effects of ants in reducing herbivory. Reductions in herbivory were greater for plants with than without domatia, and greatest for plants with both domatia and food bodies. Effect sizes of ants in reducing herbivory decreased, but remained positive, with latitude and ant species richness. Effect sizes in reducing herbivory were greater in tropical vs. temperate systems. Although ant-plant interactions have been pivotal in the study of context dependency of mutualisms, our results, along with other recent meta-analyses, indicate that context dependency may not be a general feature of mutualistic interactions. Rather, ant-plant protection mutualisms appear to be routinely positive for plants, and only occasionally neutral.  2009 by the Ecological society of America."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR35"
"Lekberg20181268","Relative importance of competition and plantsoil feedback, their synergy, context dependency and implications for coexistence",2018,1,1,"Ecology Letters","1461-023X, 1461-023X",21,NA,"1268-1281","Lekberg, Y. and Bever, J.D. and Bunn, R.A. and Callaway, R.M. and Hart, M.M. and Kivlin, S.N. and Klironomos, J. and Larkin, B.G. and Maron, J.L. and Reinhart, K.O. and Remke, M. and van der Putten, W.H.","10.1111/ele.13093",NA,NA,NA,"Plants interact simultaneously with each other and with soil biota, yet the relative importance of competition vs. plantsoil feedback (PSF) on plant performance is poorly understood. Using a meta-analysis of 38 published studies and 150 plant species, we show that effects of interspecific competition (either growing plants with a competitor or singly, or comparing inter- vs. intraspecific competition) and PSF (comparing home vs. away soil, live vs. sterile soil, or control vs. fungicide-treated soil) depended on treatments but were predominantly negative, broadly comparable in magnitude, and additive or synergistic. Stronger competitors experienced more negative PSF than weaker competitors when controlling for density (inter- to intraspecific competition), suggesting that PSF could prevent competitive dominance and promote coexistence. When competition was measured against plants growing singly, the strength of competition overwhelmed PSF, indicating that the relative importance of PSF may depend not only on neighbour identity but also density. We evaluate how competition and PSFs might interact across resource gradients; PSF will likely strengthen competitive interactions in high resource environments and enhance facilitative interactions in low-resource environments. Finally, we provide a framework for filling key knowledge gaps and advancing our understanding of how these biotic interactions influence community structure.  2018 John Wiley & Sons Ltd/CNRS"," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR36"
"Kir20131298","Root and shoot competition: A meta-analysis",2013,1,1,"Journal of Ecology","",101,NA,"1298-1312","Kir, L.P. and Weisbach, A.N. and Weiner, J.","10.1111/1365-2745.12129",NA,NA,NA,"Summary: We review the effects of root and shoot competition on plant biomass by meta-analysis of 38 published studies, each reporting on the factorial effects of root-competition and shoot-competition on herbaceous plants. There were significant differences in the overall effects of root, shoot and full competition. Root competition generally resulted in larger biomass reduction than shoot competition, particularly among the smaller of the two competitors. An interaction between root and shoot competition was observed in some experiments but was generally not significant. While root competition was generally stronger than shoot competition at lower nutrient levels, there was no overall difference at higher nutrient levels due to much lower levels of root competition. In contrast, the overall effect of full competition increased considerably with nutrient level. Root competition was generally more important when the neighbour was a grass as compared with a herb or a legume, and when domesticated plants competed with wild neighbours, suggesting that wild genotypes are stronger competitors for below-ground resources than are crop plants. Effects of competition were generally stronger in experiments with additive designs than in those with substitutive designs. Also, experiments using single target individuals showed stronger effects of competition, root competition in particular, than did experiments using groups targets. Synthesis. Despite large variation among experiments, some general patterns were supported: effects of root competition are generally stronger than shoot competition, particularly (i) for smaller competitors, (ii) at low fertility levels, (iii) when the competitor is a grass rather than an herb, (iv) when the competitor is a wild rather than a domesticated species, and (v) in additive design experiments. The effects of root and shoot competition appear to be additive under many conditions. Whereas root competition may often be the primary limitation on mean plant performance, shoot competition will influence the variation around this mean and may determine which individuals or species dominate.  2013 British Ecological Society."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR37"
"South2011299","The influence of male ejaculate quantity on female fitness: A meta-analysis",2011,1,1,"Biological Reviews","1464-7931",86,NA,"299-309","South, A. and Lewis, S.M.","10.1111/j.1469-185X.2010.00145.x",NA,NA,NA,"Although the primary function of mating is gamete transfer, male ejaculates contain numerous other substances that are produced by accessory glands and transferred to females during mating. Studies with several model organisms have shown that these substances can exert diverse behavioural and physiological effects on females, including altered longevity and reproductive output, yet a comprehensive synthesis across taxa is lacking. Here we use a meta-analytic approach to synthesize quantitatively extensive experimental work examining how male ejaculate quantity affects different components of female fitness. We summarize effect sizes for female fecundity (partial and lifetime) and longevity from 84 studies conducted on 70 arthropod species that yielded a total of 130 comparisons of female fecundity and 61 comparisons of female longevity. In response to greater amounts of ejaculate, arthropod females demonstrate enhanced fecundity (both partial and lifetime) but reduced longevity, particularly for Diptera and Lepidoptera. Across taxa, multiply mated females show particularly large fecundity increases compared to singly mated females, indicating that single matings do not maximize female fitness. This fecundity increase is balanced by a slight negative effect on lifespan, with females that received more ejaculate through polyandrous matings showing greater reductions in lifespan compared with females that have mated repeatedly with the same male. We found no significant effect size differences for either female fecundity or longevity between taxa that transfer sperm packaged into spermatophores compared to taxa that transfer ejaculates containing free sperm. Furthermore, females that received relatively larger or more spermatophores demonstrated greater lifetime fecundity, indicating that these seminal nuptial gifts provide females with a net fitness benefit. These results contribute to our understanding of the evolutionary origin and maintenance of non-sperm ejaculate components, and provide insight into female mate choice and optimal mating patterns.  2010 The Authors. Biological Reviews  2010 Cambridge Philosophical Society."," RAYYAN-INCLUSION: {""Alfredo""=>true}",2,"lnRR38"
"Gmez.Aparicio20091202","The role of plant interactions in the restoration of degraded ecosystems: A meta-analysis across life-forms and ecosystems",2009,1,1,"Journal of Ecology","",97,NA,"1202-1214","Gmez-Aparicio, L.","10.1111/j.1365-2745.2009.01573.x",NA,NA,NA,"1. Traditionally, techniques of plant manipulation during restoration have focused on the reduction of competition by 'problematic' existing vegetation. However, the increasing recognition of facilitation as a main process regulating the composition of communities has brought a change in the practice of restoration towards a better awareness of the benefits inherent to conserving neighbouring vegetation. 2. Here, I provide the results of a meta-analysis of published studies that have manipulated interactions among plants with the objective of restoring degraded terrestrial systems. I created four different data sets corresponding to the variables most commonly used to measure plant performance (i.e. emergence, survival, growth and density), and asked whether the benefits of facilitation as a restoration tool vary depending on the study duration, the life-form of the neighbour and target species, and the ecosystem type. 3. Neighbour effects varied strongly among performance estimators. Positive effects were frequently found for emergence and survival, whereas neutral or negative interactions predominated for growth and density. 4. No clear support existed for a relationship between study duration and neighbour effect. 5. The life-form of the interacting species, particularly of neighbours, largely influenced the interaction outcome. Herbs had strong negative effects, especially on other herb species, whereas shrubs had large facilitative effects, especially on trees. 6. Semiarid and tropical systems showed in general more positive neighbour effects than wetlands and particularly mesic temperate systems, where negative interactions predominated. However, these results were largely influenced by the over-representation of herb species in wetlands and temperate habitats, survival facilitation being found in all systems when only woody species were considered. 7. Synthesis. Pre-existing vegetation can have large impacts on species establishment in degraded habitats. Inhibition predominates in herbaceous communities typical of early-successional stages, whereas facilitation prevailes in communities dominated by shrubs and trees. Even productive systems (e.g. mesic temperate habitats) appear suitable for the application of facilitation as a restoration tool of woody communities. Whereas restoring herbaceous communities seems largely reliable on removal techniques, augmenting populations of nurse shrubs and trees should be considered a promising strategy for restoring woody late-successional communities.  2009 British Ecological Society."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR39"
"Knapp2018","A global meta-analysis of yield stability in organic and conservation agriculture",2018,1,1,"Nature Communications","",9,NA,NA,"Knapp, S. and van der Heijden, M.G.A.","10.1038/s41467-018-05956-1",NA,NA,NA,"One of the primary challenges of our time is to enhance global food production and security. Most assessments in agricultural systems focus on plant yield. Yet, these analyses neglect temporal yield stability, or the variability and reliability of production across years. Here we perform a meta-analysis to assess temporal yield stability of three major cropping systems: organic agriculture and conservation agriculture (no-tillage) vs. conventional agriculture, comparing 193 studies based on 2896 comparisons. Organic agriculture has, per unit yield, a significantly lower temporal stability (15%) compared to conventional agriculture. Thus, although organic farming promotes biodiversity and is generally more environmentally friendly, future efforts should focus on reducing its yield variability. Our analysis further indicates that the use of green manure and enhanced fertilisation can reduce the yield stability gap between organic and conventional agriculture. The temporal stability (3%) of no-tillage does not differ significantly from those of conventional tillage indicating that a transition to no-tillage does not affect yield stability.  2018, The Author(s)."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR40"
"Shuman.Goodier2016758","A meta-analysis synthesizing the effects of pesticides on swim speed and activity of aquatic vertebrates",2016,1,1,"Science of the Total Environment","",565,NA,"758-766","Shuman-Goodier, M.E. and Propper, C.R.","10.1016/j.scitotenv.2016.04.205",NA,NA,NA,"Pesticide contaminants are ubiquitous in aquatic environments and pose a threat to biodiversity. Pesticides also have diverse mechanisms of action that make it difficult to identify impacts on exposed wildlife. Behavioral measures represent an important link between physiological and ecological processes, and are often used to generalize sub-lethal effects of pesticide exposure. In order to bridge the toxicological and behavioral literature, and identify chemical classes that denote the largest threat, we conducted a meta-analysis summarizing the effects of pesticides on swim speed and activity of aquatic vertebrates. We found that exposure to environmentally relevant concentrations of pesticides reduced the swim speed of exposed amphibians and fish by 35%, and reduced overall activity by 72%. There were also differences in the magnitude of this effect across chemical classes, which likely reflect underlying physiological processes. Pyrethroids, carbamates, and organophosphates all produced a large decrease in swim speed, where as phosphonoglycines and triazines showed no overall effect. Pyrethroids, carbamates, organophosphates, organochlorines, and organotins also produced a large decrease in activity, while phosphonoglycines had no overall effect, and triazines had the opposite effect of increasing activity. Our results indicate that even sub-lethal concentrations of pesticides have a strong effect on critical behaviors of aquatic vertebrates, which can affect fitness and alter species interactions. We expect our synthesis can be used to identify chemical classes producing the largest sub-lethal effects for further research and management.  2016 Elsevier B.V."," RAYYAN-INCLUSION: {""Alfredo""=>true}",3,"lnRR41"
"Salgado2016209","A Theoretical Model of Psychometric Effects of Faking on Assessment Procedures: Empirical findings and implications for personality at work",2016,1,1,"International Journal of Selection and Assessment","1468-2389(Electronic);0965-075X(Print)",24,NA,"209-228","Salgado, J.F.","10.1111/ijsa.12142",NA,NA,NA,"This article proposes a theoretical model for explaining the psychometric effects of faking on assessment procedures (e.g., biodata, interviews, assessment center, personality inventories, and self-reported measures). The model hypothesizes that faking is a phenomenon of homogenization of scores, consisting of a double mechanism that increases the mean, on one hand, and decreases the standard deviation of distributions of scores, on the other. Subsequently, this affects the covariance, reliability, and validity of assessment procedures negatively. The model predicts that a mean ratio (faking ratio) greater than 1 and a coefficient of homogeneity u smaller than 1 characterizes faking. Meta-analysis was used to test several predictions of the theoretical model in the case of the personality measures. A database of 46 independent studies was created. All the studies used the NEO-PI-R for assessing the Big Five and their facets. The general pattern of data fully supported the model predictions. Implications for personnel assessment and, particularly, for personality assessment are discussed.  2016 John Wiley & Sons Ltd"," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR42"
"NoAuthor20171","Application of systematic review methods in an overall strategy for evaluating low-dose toxicity from endocrine active chemicals",2017,1,1,"Application of Systematic Review Methods in an Overall Strategy for Evaluating Low-Dose Toxicity from Endocrine Active Chemicals",NA,NA,NA,"1-404","on Endocrine-Related Low-Dose Toxicity, Committee and on Environmental Studies, Board and , Toxicology and on Earth, Division and Studies, Life and National Academies of Sciences, Engineering,  and , Medicine","10.17226/24758",NA,NA,NA,"To safeguard public health, the US Environmental Protection Agency (EPA) must keep abreast of new scientific information and emerging technologies so that it can apply them to regulatory decision-making. For decades the agency has dealt with questions about what animal-testing data to use to make predictions about human health hazards, how to perform dose-response extrapolations, how to identify and protect susceptible subpopulations, and how to address uncertainties. As alternatives to traditional toxicity testing have emerged, the agency has been faced with additional questions about how to incorporate data from such tests into its chemical assessments and whether such tests can replace some traditional testing methods. Endocrine active chemicals (EACs) have raised concerns that traditional toxicity-testing protocols might be inadequate to identify all potential hazards to human health because they have the ability to modulate normal hormone function, and small alterations in hormone concentrations, particularly during sensitive life stages, can have lasting and significant effects. To address concerns about potential human health effects from EACs at low doses, this report develops a strategy to evaluate the evidence for such low-dose effects.  2017 by the National Academy of Sciences. All rights reserved."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR43"
"Lefevre2016","Are global warming and ocean acidification conspiring against marine ectotherms? A meta-analysis of the respiratory effects of elevated temperature, high CO2 and their interaction",2016,1,1,"Conservation Physiology","2051-1434",4,NA,NA,"Lefevre, S.","10.1093/conphys/cow009",NA,NA,NA,"With the occurrence of global change, research aimed at estimating the performance of marine ectotherms in a warmer and acidified future has intensified. The concept of oxygen- and capacity-limited thermal tolerance, which is inspired by the Fry paradigm of a bell-shaped increase-optimum-decrease-type response of aerobic scope to increasing temperature, but also includes proposed negative and synergistic effects of elevated CO2 levels, has been suggested as a unifying framework. The objectives of this meta-analysis were to assess the following: (i) the generality of a bell-shaped relationship between absolute aerobic scope (AAS) and temperature; (ii) to what extent elevated CO2 affects resting oxygen uptake MO2rest and AAS; and (iii) whether there is an interaction between elevated temperature and CO2. The behavioural effects of CO2 are also briefly discussed. In 31 out of 73 data sets (both acutely exposed and acclimated), AAS increased and remained above 90% of the maximum, whereas a clear thermal optimum was observed in the remaining 42 data sets. Carbon dioxide caused a significant rise in MO2rest in only 18 out of 125 data sets, and a decrease in 25, whereas it caused a decrease in AAS in four out of 18 data sets and an increase in two. The analysis did not reveal clear evidence for an overall correlation with temperature, CO2 regime or duration of CO2 treatment. When CO2 had an effect, additive rather than synergistic interactions with temperature were most common and, interestingly, they even interacted antagonistically on MO2rest and AAS. The behavioural effects of CO2 could complicate experimental determination of respiratory performance. Overall, this meta-analysis reveals heterogeneity in the responses to elevated temperature and CO2 that is not in accordance with the idea of a single unifying principle and which cannot be ignored in attempts to model and predict the impacts of global warming and ocean acidification on marine ectotherms.  The Author 2016."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR44"
"Thapa20181197","Biomass production and nitrogen accumulation by hairy vetchcereal rye mixtures: A meta-analysis",2018,1,1,"Agronomy Journal","0002-1962",110,NA,"1197-1208","Thapa, R. and Poffenbarger, H. and Tully, K.L. and Ackroyd, V.J. and Kramer, M. and Mirsky, S.B.","10.2134/agronj2017.09.0544",NA,NA,NA,"Agroecosystem services from cover crop mixtures are linked to aboveground biomass and total N content (kg ha1). Reported values in the literature, however, vary for aboveground biomass and total N content of cover crop mixtures compared with monocultures. We conducted a meta-analysis using results from 55 site-years from 21 studies conducted in the United States to examine biomass and N content of hairy vetch (Vicia villosa Roth)cereal rye (Secale cereale L.) mixtures compared with respective monocultures. Overall, hairy vetchcereal rye mixtures produced 63 and 21% more biomass compared with hairy vetch and cereal rye monocultures, respectively. The N content of hairy vetchcereal rye mixtures was 150% greater than that of cereal rye monocultures. When the proportion of hairy vetch seeds (by weight) exceeded 46% of the mixture, the mixtures accumulated equivalent or more N than the greatest yielding monocultures (usually hairy vetch). Compared with monocultures, a more consistent positive response of mixtures on biomass and N content was found on coarse-textured soils and following corn (Zea mays L.) rather than soybean [Glycine max (L.) Merr.] harvest. With increasing growing degree days (GDD), the biomass and N content of mixtures decreased relative to hairy vetch monocultures but increased relative to cereal rye monocultures, suggesting better performance of hairy vetch at higher GDD. We conclude that hairy vetchcereal rye mixtures can produce equivalent or more biomass than both monocultures and accumulate as much N as hairy vetch, and that the relative productivity of mixtures depends on soil type, previous crop, seeding proportion, and GDD.  2018 by the American Society of Agronomy."," RAYYAN-INCLUSION: {""Alfredo""=>true}",2,"lnRR45"
"Ferriss2019254","Bivalve aquaculture and eelgrass: A global meta-analysis",2019,1,1,"Aquaculture","",498,NA,"254-262","Ferriss, B.E. and Conway-Cranos, L.L. and , S and erson, B.L. and Hoberecht, L.","10.1016/j.aquaculture.2018.08.046",NA,NA,NA,"The marine, intertidal zone is the optimal environment for eelgrass (Zostera spp.) and bivalve aquaculture. Eelgrass is a valuable and protected nearshore habitat. It is important to understand how bivalve aquaculture interacts with eelgrass to support the sustainable development of this globally expanding industry. This study provides a comprehensive understanding of the positive and negative effects of bivalve aquaculture on eelgrass by conducting the first quantitative, global meta-analysis of aquaculture-eelgrass studies. A literature review resulted in 125 studies that met established criteria for inclusion in this analysis. The meta-analysis determined: (1) how eelgrass responds to on-bottom and off-bottom bivalve aquaculture, (2) how these responses vary between regions and specific grow-out methods, and (3) the resilience of eelgrass after harvesting disturbances. On-bottom culture (laying directly on the sediment potentially including predator exclusion devices) corresponded to significant increases in eelgrass growth and reproduction, and a decrease in density and biomass. Off-bottom culture (e.g., longline and suspended bag) resulted in significant decreases in eelgrass density, percent cover, and reproduction. Results support a space-competition hypothesis for on-bottom culture and provide limited support for light limitation in off-bottom culture, although other mechanisms of interaction are potentially occurring as well. A US west coast case study revealed regional differences in eelgrass responses, including a more negative trend in eelgrass density from off-bottom culture, and a neutral effect on reproduction from on-bottom culture (relative to neutral and positive trend, respectively, in the average of all other studies). Eelgrass densities recovered after all harvest methods, however mechanical harvest methods created greater initial impact and longer recovery times than manual harvest methods. The time-period over which observations were reported was an important variable that was not included in the analysis but could influence these results. These analyses suggest the response of eelgrass to bivalve aquaculture varies depending on eelgrass characteristics, grow-out approaches, and harvesting methods, with potential regionally specific relationships. Questions remain, regarding how this dynamic relationship between eelgrass and aquaculture habitat relates to ecological functions and services in the nearshore environment.  2018"," RAYYAN-INCLUSION: {""Alfredo""=>true}",2,"lnRR46"
"X.ISI.000299382200009","Comparison of methodologies to quantify the effects of age and area of marine reserves on the density and size of targeted species",2012,1,1,"AQUATIC BIOLOGY","",14,NA,"185-200","Guisado, Daniela Diaz and Cole, Russell G. and Davidson, Robert J. and Freeman, Debbie J. and Kelly, Shane and Macdiarmid, Alison and , P and e, Anjali and Stewart, Rob and Struthers, Carl and Bell, James J. and Gardner, Jonathan P. A.","10.3354/ab00391",NA,NA,NA,"We quantified the biological response of 2 exploited species to marine reserve (MR) protection by comparing meta-analysis results based on response ratio (RR) and Hedges' g statistics. To determine the effect of MR area and age on biological responses, a RR analysis was performed on density and size data for both species from sites inside versus outside 13 MRs. Most MRs supported a greater density of larger individuals than unprotected areas. Linear and non-linear plots of MR age and area with respect to species-specific density and size were used to quantify the trajectories of the responses. In the RR meta-analysis but not in the Hedges' g meta-analysis, MR age explained significant variation in the density and size of both species, while no effect of MR area was detected in either analysis. Comparison of the performance of RR with that of Hedges' g revealed no overall evidence of a relationship between them, probably because the RR does not include an estimate of variance, whereas the Hedges' g analysis does. While RR analysis is an appropriate alternative to Hedges' g statistic meta-analysis assessments of MR effectiveness because of its ease of use and interpretation, we recommend that future RR analyses include both an estimate of variance and a test for `effect size'. Finally, we recommend that research be aimed at determining why different MRs produce different biological responses-that is, address why significant `effect size' exists."," RAYYAN-INCLUSION: {""Alfredo""=>true}",1,"lnRR47"
"Brace2017254","Costs of immune responses are related to host body size and lifespan",2017,1,1,"Journal of Experimental Zoology Part A: Ecological and Integrative Physiology","24715638",327,NA,"254-261","Brace, A.J. and Lajeunesse, M.J. and Ardia, D.R. and Hawley, D.M. and Adelman, J.S. and Buchanan, K.L. and Fair, J.M. and Grindstaff, J.L. and Matson, K.D. and Martin, L.B.","10.1002/jez.2084",NA,NA,NA,"A central assumption in ecological immunology is that immune responses are costly, with costs manifesting directly (e.g., increases in metabolic rate and increased amino acid usage) or as tradeoffs with other life processes (e.g., reduced growth and reproductive success). Across taxa, host longevity, timing of maturity, and reproductive effort affect the organization of immune systems. It is reasonable, therefore, to expect that these and related factors should also affect immune activation costs. Specifically, species that spread their breeding efforts over a long lifetime should experience lower immune costs than those that mature and breed quickly and die comparatively early. Likewise, body mass should affect immune costs, as body size affects the extent to which hosts are exposed to parasites as well as how hosts can combat infections (via its effects on metabolic rates and other factors). Here, we used phylogenetic meta-regression to reveal that, in general, animals incur costs of immune activation, but small species that are relatively long-lived incur the largest costs. These patterns probably arise because of the relative need for defense when infection risk is comparatively high and fitness can only be realized over a comparatively long period. However, given the diversity of species considered here and the overall modest effects of body mass and life history on immune costs, much more research is necessary before generalizations are appropriate.  2017 Wiley Periodicals, Inc."," RAYYAN-INCLUSION: {""Alfredo""=>true}",2,"lnRR48"
