"key","title","year","month","day","journal","issn","volume","issue","pages","authors","url","language","publisher","location","abstract","notes","studyID"
"Egea.Serrano20121382","Understanding of the impact of chemicals on amphibians: A meta-analytic review",2012,1,1,"Ecology and Evolution","",2,NA,"1382-1397","Egea-Serrano, A. and Relyea, R.A. and Tejedo, M. and Torralva, M.","10.1002/ece3.249","",NA,NA,"Many studies have assessed the impact of different pollutants on amphibians across a variety of experimental venues (laboratory, mesocosm, and enclosure conditions). Past reviews, using vote-counting methods, have described pollution as one of the major threats faced by amphibians. However, vote-counting methods lack strong statistical power, do not permit one to determine the magnitudes of effects, and do not compare responses among predefined groups. To address these challenges, we conducted a meta-analysis of experimental studies that measured the effects of different chemical pollutants (nitrogenous and phosphorous compounds, pesticides, road deicers, heavymetals, and other wastewater contaminants) at environmentally relevant concentrations on amphibian survival, mass, time to hatching, time to metamorphosis, and frequency of abnormalities. The overall effect size of pollutant exposure was a medium decrease in amphibian survival and mass and a large increase in abnormality frequency. This translates to a 14.3% decrease in survival, a 7.5% decrease in mass, and a 535% increase in abnormality frequency across all studies. In contrast, we found no overall effect of pollutants on time to hatching and time to metamorphosis.We also found that effect sizes differed among experimental venues and among types of pollutants, but we only detected weak differences among amphibian families. These results suggest that variation in sensitivity to contaminants is generally independent of phylogeny. Some publication bias (i.e., selective reporting) was detected, but only for mass and the interaction effect size among stressors. We conclude that the overall impact of pollution on amphibians is moderately to largely negative. This implies that pollutants at environmentally relevant concentrations pose an important threat to amphibians and may play a role in their present global decline. 2012 The Authors."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch21"
"Garca.Palacios20121303","Plant responses to soil heterogeneity and global environmental change",2012,1,1,"Journal of Ecology","",100,NA,"1303-1314","Garca-Palacios, P. and Maestre, F.T. and Bardgett, R.D. and de Kroon, H.","10.1111/j.1365-2745.2012.02014.x","",NA,NA,"Recent evidence suggests that soil nutrient heterogeneity, a ubiquitous feature of terrestrial ecosystems, modulates plant responses to ongoing global change (GC). However, we know little about the overall trends of such responses, the GC drivers involved and the plant attributes affected. We synthesized literature to answer the question: Does soil heterogeneity significantly affect plant responses to main GC drivers, such as elevated atmospheric carbon dioxide concentration (CO 2), nitrogen (N) enrichment and changes in rainfall regime? Overall, most studies have addressed short-term effects of N enrichment on the performance of model plant communities using experiments conducted under controlled conditions. The role of soil heterogeneity as a modulator of plant responses to elevated CO 2 may depend on the plasticity in nutrient uptake patterns. Soil heterogeneity does interact with N enrichment to determine plant growth and nutrient status, but the outcome of this interaction has been found to be both synergistic and inhibitory. The very few studies published on interactive effects of soil heterogeneity and changes in rainfall regime prevented us from identifying any general pattern. We identify the long-term consequences of soil heterogeneity on plant community dynamics in the field, and the ecosystem-level responses of the soil heterogeneity  GC driver interaction, as the main knowledge gaps in this area of research. To fill these gaps and take soil heterogeneity and GC research a step forward, we propose the following research guidelines: (i) combining morphological and physiological plant responses to soil heterogeneity with field observations of community composition and predictions from simulation models and (ii) incorporating soil heterogeneity into a trait-based response-effect framework, where plant-resource-use traits are used as both response variables to this heterogeneity and GC, and predictors of ecosystem functioning. Synthesis. There is enough evidence to affirm that soil heterogeneity modulates plant responses to elevated atmospheric CO 2 and N enrichment. Our synthesis indicates that we must explicitly consider soil heterogeneity to accurately predict plant responses to GC drivers.  2012 The Authors. Journal of Ecology  2012 British Ecological Society."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch22"
"Gruner2008740","A cross-system synthesis of consumer and nutrient resource control on producer biomass",2008,1,1,"Ecology Letters","1461-023X, 1461-023X",11,NA,"740-755","Gruner, D.S. and Smith, J.E. and Seabloom, E.W. and , S and in, S.A. and Ngai, J.T. and , Hillebr and , H. and Harpole, W.S. and Elser, J.J. and , Clel and , E.E. and Bracken, M.E.S. and Borer, E.T. and Bolker, B.M.","10.1111/j.1461-0248.2008.01192.x","",NA,NA,"Nutrient availability and herbivory control the biomass of primary producer communities to varying degrees across ecosystems. Ecological theory, individual experiments in many different systems, and system-specific quantitative reviews have suggested that (i) bottom-up control is pervasive but top-down control is more influential in aquatic habitats relative to terrestrial systems and (ii) bottom-up and top-down forces are interdependent, with statistical interactions that synergize or dampen relative influences on producer biomass. We used simple dynamic models to review ecological mechanisms that generate independent vs. interactive responses of community-level biomass. We calibrated these mechanistic predictions with the metrics of factorial meta-analysis and tested their prevalence across freshwater, marine and terrestrial ecosystems with a comprehensive meta-analysis of 191 factorial manipulations of herbivores and nutrients. Our analysis showed that producer community biomass increased with fertilization across all systems, although increases were greatest in freshwater habitats. Herbivore removal generally increased producer biomass in both freshwater and marine systems, but effects were inconsistent on land. With the exception of marine temperate rocky reef systems that showed positive synergism of nutrient enrichment and herbivore removal, experimental studies showed limited support for statistical interactions between nutrient and herbivory treatments on producer biomass. Top-down control of herbivores, compensatory behaviour of multiple herbivore guilds, spatial and temporal heterogeneity of interactions, and herbivore-mediated nutrient recycling may lower the probability of consistent interactive effects on producer biomass. Continuing studies should expand the temporal and spatial scales of experiments, particularly in understudied terrestrial systems; broaden factorial designs to manipulate independently multiple producer resources (e.g. nitrogen, phosphorus, light), multiple herbivore taxa or guilds (e.g. vertebrates and invertebrates) and multiple trophic levels; and - in addition to measuring producer biomass - assess the responses of species diversity, community composition and nutrient status.  2008 Blackwell Publishing Ltd/CNRS."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch23"
"Gurevitch2018175","Meta-analysis and the science of research synthesis",2018,1,1,"Nature","1476-4687",555,NA,"175-182","Gurevitch, J. and Koricheva, J. and Nakagawa, S. and Stewart, G.","10.1038/nature25753","",NA,NA,"Meta-analysis is the quantitative, scientific synthesis of research results. Since the term and modern approaches to research synthesis were first introduced in the 1970s, meta-analysis has had a revolutionary effect in many scientific fields, helping to establish evidence-based practice and to resolve seemingly contradictory research outcomes. At the same time, its implementation has engendered criticism and controversy, in some cases general and others specific to particular disciplines. Here we take the opportunity provided by the recent fortieth anniversary of meta-analysis to reflect on the accomplishments, limitations, recent advances and directions for future developments in the field of research synthesis.  2018 Macmillan Publishers Limited, part of Springer Nature. All rights reserved."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch24"
"Hale201738","Describing and understanding behavioral responses to multiple stressors and multiple stimuli",2017,1,1,"Ecology and Evolution","",7,NA,"38-47","Hale, R. and Piggott, J.J. and Swearer, S.E.","10.1002/ece3.2609","",NA,NA,"Understanding the effects of environmental change on natural ecosystems is a major challenge, particularly when multiple stressors interact to produce unexpected ecological surprises in the form of complex, nonadditive effects that can amplify or reduce their individual effects. Animals often respond behaviorally to environmental change, and multiple stressors can have both population-level and community-level effects. However, the individual, not combined, effects of stressors on animal behavior are commonly studied. There is a need to understand how animals respond to the more complex combinations of stressors that occur in nature, which requires a systematic and rigorous approach to quantify the various potential behavioral responses to the independent and interactive effects of stressors. We illustrate a robust, systematic approach for understanding behavioral responses to multiple stressors based on integrating schemes used to quantitatively classify interactions in multiple-stressor research and to qualitatively view interactions between multiple stimuli in behavioral experiments. We introduce and unify the two frameworks, highlighting their conceptual and methodological similarities, and use four case studies to demonstrate how this unification could improve our interpretation of interactions in behavioral experiments and guide efforts to manage the effects of multiple stressors. Our unified approach: (1) provides behavioral ecologists with a more rigorous and systematic way to quantify how animals respond to interactions between multiple stimuli, an important theoretical advance, (2) helps us better understand how animals behave when they encounter multiple, potentially interacting stressors, and (3) contributes more generally to the understanding of ecological surprises in multiple stressors research.  2016 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch25"
"Hambck200326","Herbivory and plant resource competition: A review of two interacting interactions",2003,1,1,"Oikos","0030-1299",101,NA,"26-37","Hambck, P.A. and Beckerman, A.P.","10.1034/j.1600-0706.2003.12568.x","",NA,NA,"This review discusses the prevalence and potential for interactive effects between herbivory and competition on plant growth and biomass, and it is apparent that such effects typically arise when there is a mismatch between the spatial scale of herbivore behaviour (food or patch choice) and the spatial heterogeneity of the plant community. Historically, such interactive effects have been examined using two approaches. Studies using the first approach have excluded plant neighbors and herbivores in a factorial experiment, and scored effects on plant biomass. Studies using the second approach have observed herbivore abundance or herbivory on plants with or without plant neighbors, and have identified a large number of mechanisms underlying such interactive effects. The two types of studies have produced somewhat conflicting results, where interactive effects have been commonly observed in studies using the second approach and only rarely in studies using the first approach. This is most likely a consequence of a biased choice of study systems, where studies using the first approach have primarily studied mammalian herbivory while studies using the second approach have been more focussed on insect herbivory. Moreover, studies using the first approach have typically been very small-scale manipulations and this probably precludes most possible interactive effects in systems with mammalian herbivory. This points to the fact that studies examining interactive effects of herbivory and plant competition should more carefully consider the behaviour and life history of herbivores included in the study prior to the design of removal experiments."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch26"
"Harvey20131016","Meta-analysis reveals complex marine biological responses to the interactive effects of ocean acidification and warming",2013,1,1,"Ecology and Evolution","",3,NA,"1016-1030","Harvey, B.P. and Gwynn-Jones, D. and Moore, P.J.","10.1002/ece3.516","",NA,NA,"Ocean acidification and warming are considered two of the greatest threats to marine biodiversity, yet the combined effect of these stressors on marine organisms remains largely unclear. Using a meta-analytical approach, we assessed the biological responses of marine organisms to the effects of ocean acidification and warming in isolation and combination. As expected biological responses varied across taxonomic groups, life-history stages, and trophic levels, but importantly, combining stressors generally exhibited a stronger biological (either positive or negative) effect. Using a subset of orthogonal studies, we show that four of five of the biological responses measured (calcification, photosynthesis, reproduction, and survival, but not growth) interacted synergistically when warming and acidification were combined. The observed synergisms between interacting stressors suggest that care must be made in making inferences from single-stressor studies. Our findings clearly have implications for the development of adaptive management strategies particularly given that the frequency of stressors interacting in marine systems will be likely to intensify in the future. There is now an urgent need to move toward more robust, holistic, and ecologically realistic climate change experiments that incorporate interactions. Without them accurate predictions about the likely deleterious impacts to marine biodiversity and ecosystem functioning over the next century will not be possible.  2013 The Authors. Ecology and Evolution."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch27"
"He2016278","Consumer control as a common driver of coastal vegetation worldwide",2016,1,1,"Ecological Monographs","0012-9615",86,NA,"278-294","He, Q. and Silliman, B.R.","10.1002/ecm.1221","",NA,NA,"Rapid, global, anthropogenic alteration of food webs in ecosystems necessitates a better understanding of how consumers regulate natural communities. We provide a global synthesis of consumer control of vegetation in coastal wetlands, where the domineering role of physical factors such as nutrient and salinity, rather than consumers, has been emphasized for decades. Using a data set of 1748 measures of consumer effects reported in 443 experiments/ observations on all continents except Antarctica, we examine the generality of consumer control in salt marshes and mangroves globally. Our analyses show that salt marsh herbivores, including insects, snails, crabs, waterfowl, small mammals, and livestock, generally and often strongly suppress plant survival, aboveground biomass, and height, while their effects on plant density, belowground biomass, reproduction, and cover are more variable. These effects occur in forbs, grasses, and shrubs, and in both seedlings and adult plants. Herbivores additionally affect plant nutrient stoichiometry, and mediate plant interactions, though their effects on plant diversity are less consistent. Higher trophic levels also affect plants, as predators facilitate plant growth through trophic cascades that suppress grazer abundance and grazing rate. In mangroves, there are also signs of consumer control, though the relatively few studies available have often focused on mangrove propagules and seedlings rather than adults. Our analyses further reveal that the strength of consumer control is regulated by many physical factors. Nutrient, disturbance, and flooding, for example, amplify the negative effects of herbivores. Along latitudinal gradients, increased temperature enhances the negative effects of ectothermic herbivores, but has no effect on those of endothermic herbivores. Consumer control of coastal plants is also apparent across study methodologies: in field and laboratory settings, in observational studies, in consumer exclusion and addition experiments, in natural and transplanted plants, and in experiments of various durations. The role of consumer control in coastal vegetation worldwide highlights the need to better recognize and theoretically conceptualize both top-down and bottom-up forcing and their interactions in coastal wetlands. Improved understanding and conservation of coastal wetlands will only occur if we incorporate what the science has revealed: Trophic feedbacks are an important and pervasive determinant of coastal plant communities.  2016 by the Ecological Society of America."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch28"
"Hendrichsen2009","Predation and fragmentation portrayed in the statistical structure of prey time series",2009,1,1,"BMC Ecology","14726785",9,NA,NA,"Hendrichsen, D.K. and Topping, C.J. and Forchhammer, M.C.","10.1186/1472-6785-9-10","",NA,NA,"Background. Statistical autoregressive analyses of direct and delayed density dependence are widespread in ecological research. The models suggest that changes in ecological factors affecting density dependence, like predation and landscape heterogeneity are directly portrayed in the first and second order autoregressive parameters, and the models are therefore used to decipher complex biological patterns. However, independent tests of model predictions are complicated by the inherent variability of natural populations, where differences in landscape structure, climate or species composition prevent controlled repeated analyses. To circumvent this problem, we applied second-order autoregressive time series analyses to data generated by a realistic agent-based computer model. The model simulated life history decisions of individual field voles under controlled variations in predator pressure and landscape fragmentation. Analyses were made on three levels: comparisons between predated and non-predated populations, between populations exposed to different types of predators and between populations experiencing different degrees of habitat fragmentation. Results. The results are unambiguous: Changes in landscape fragmentation and the numerical response of predators are clearly portrayed in the statistical time series structure as predicted by the autoregressive model. Populations without predators displayed significantly stronger negative direct density dependence than did those exposed to predators, where direct density dependence was only moderately negative. The effects of predation versus no predation had an even stronger effect on the delayed density dependence of the simulated prey populations. In non-predated prey populations, the coefficients of delayed density dependence were distinctly positive, whereas they were negative in predated populations. Similarly, increasing the degree of fragmentation of optimal habitat available to the prey was accompanied with a shift in the delayed density dependence, from strongly negative to gradually becoming less negative. Conclusion. We conclude that statistical second-order autoregressive time series analyses are capable of deciphering interactions within and across trophic levels and their effect on direct and delayed density dependence.  2009 Hendrichsen et al; licensee BioMed Central Ltd."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch29"
"Hillebrana2009798","Meta-analysis of grazer control of periphyton biomass across aquatic ecosystems",2009,1,1,"Journal of Phycology","",45,NA,"798-806","Hillebrana, H.","10.1111/j.1529-8817.2009.00702.x","",NA,NA,"Grazer control of periphyton biomass has been addressed in numerous experimental studies in all kinds of aquatic habitats. In this meta-analysis, the results of 865 experiments are quantitatively synthesized in order to address the following questions: (i) Do lotic, lentic, and marine ecosystems differ in their degree of grazer control of periphyton biomass? (ii) Which environmental variables affect the degree of grazer control? (iii) How much does the result of these experiments depend on facets of experimental design? Across all ecosystems, the grazers removed on average 59% of the periphyton biomass, with grazing being significantly stronger for laboratory (65%) than for field (56%) experiments. Neither field nor lab experiments showed a significant difference among lotic, lentic, and coastal habitats. Among different taxonomic consumer groups, crustaceans (amphipods and isopods) and trichopteran larvae removed the highest proportion of periphyton biomass. Grazer effects increased with increasing algal biomass, with decreasing resource availability and with increasing temperature, especially in field experiments. Grazer effects also increased with increasing total grazer biomass in field experiments but showed the opposite trend in lab experiments, indicating a tendency toward overcrowded lab experiments. Other aspects of experimental design, such as cage type, size, and duration of the study, strongly affected the outcome of the experiments, suggesting that much care has to be placed on the choice of experimental design.  2009 Phycological Society of America."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch30"
"Hillebrand2002349","Top-down versus bottom-up control of autotrophic biomass - A meta-analysis on experiments with periphyton",2002,1,1,"Journal of the North American Benthological Society","",21,NA,"349-369",", Hillebr and , H.","10.2307/1468475","",NA,NA,"Nutrient supply and herbivore presence can regulate plant biomass. The relative impact of both of these factors, and their interactions, on periphyton biomass were examined in a quantitative meta-analysis. A literature survey revealed 85 experiments with factorial and replicated manipulation of grazer access and nutrient supply. Two measures of effect sizes were calculated for each experiment, one based on final biomass yields (Hedges' d) and the other on rates (r). Grazers significantly reduced periphyton biomass across all experiments, whereas nutrient addition significantly increased periphyton biomass. Effect sizes were very large for both factors. Thus, periphyton can be viewed as highly controlled by top-down and bottom-up mechanisms. Grazer effects were greater than nutrient effects. This result would be expected because nutrient enrichment represents a relative relief from nutrient limitation, whereas grazer exclusion represents a categorical removal of grazing pressure. Moreover, nutrient uptake and growth response are time-lagged, whereas grazer effects are more immediate. The assembled data set was used to test for significant impacts of the habitat and of the experimental design on the importance of grazers and nutrients. Both factors had consistent effects in streams, lakes, and coastal environments, although some variation in effect strength was found. Background productivity levels also did not affect the main effects, but increases in periphyton biomass led to increasing grazer effects and decreasing nutrient effects. The interaction between grazing and nutrients differed between habitats from different aquatic realms and with different productivity. The interaction metric for Hedges' d was significantly positive for lakes and coasts, indicating a greater impact of nutrients in the absence of herbivores than in their presence. No such interaction was found for streams or for mesotrophic habitats. Similar trends were evident for r. The experimental design profoundly affected the effects of grazers and nutrients on periphyton biomass, with regard to type of grazer manipulation, type of nutrient enrichment, and duration of the experiment. This outcome indicated the crucial role of a careful experimental design."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch31"
"Hillebrand2005758","Light regime and consumer control of autotrophic biomass",2005,1,1,"Journal of Ecology","",93,NA,"758-769",", Hillebr and , H.","10.1111/j.1365-2745.2005.00978.x","",NA,NA,"1 Autotrophic biomass is often regulated by resource supply and consumer presence. Most studies on top-down vs. bottom-up control of plant biomass focus on nutrients as basal resources, whereas light has received considerably less attention. 2 Effects of light and nutrients may differ because light represents a vertical resource and plant adaptations to acquire light might counteract or facilitate consumer effects. I tested the interaction between light supply and consumer presence in a meta-analysis of experiments that manipulated both these factors factorially and measured the biomass of benthic algae (periphyton). 3 Both grazer removal and light enhancement had positive effects on algal biomass. These two factors showed strong interactions, which exceeded previously observed interaction terms between nutrient supply and grazer removal. Positive light effects on algal biomass were primarily observed in the absence of grazers. Grazer effects became stronger at high light supply, which indicated that high light favours algal growth types that are easily ingested. 4 Further analyses showed that light effects increased with trophic state of the habitat and with algal biomass, indicating enhanced importance of light limitation and self-shading at high nutrient supply. Grazer effects depended on grazer biomass and varied with type of experimental manipulation. 5 This study implies that light is of similar importance as nutrients in resource control of benthic algal biomass. High light levels simultaneously enhance consumer control of algal biomass, resulting in strong resource vs. consumer interactions. Light competition and consumer presence pose a trade-off on algal growth, where growth form may distinguish between adaptations to acquire light and to avoid consumption.  2005 British Ecological Society."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch32"
"Holt2008","Meta-analysis of the effects of predation on animal prey abundance: Evidence from UK vertebrates",2008,1,1,"PLoS ONE","",3,NA,NA,"Holt, A.R. and Davies, Z.G. and Tyler, C. and Staddon, S.","10.1371/journal.pone.0002400","",NA,NA,"Background: Controlling vertebrate predators is one of the most widespread forms of widelife management and it continues to cause conflict between stakeholders worldwide. It is important for managers and policy-makers to make decisions on this issue that are based on the best available scientific evidence. Therefore, it is first important to understand if there is indeed an impact of vertebrate predators on prey, and then to quantify this impact. Methodology/Principal Findings: Using the UK as a case study, we use meta-analytical approach to review the available evidence to assess the effect of vertebrate predation on animal prey abundance. We find a significant effect of predators on prey abundance across our studies. On average, there is a 1.6 fold increase in prey abundance in the absence of predation. However, we show significant heterogeneity effect sizes, and discuss how the method of predator control, whether the predator is native or non-native, and aspects of study design, may be potential causes. Conclusions/Significance: Our results allow some cautious policy recommendations to be made regarding the management of predator and prey populations. Meta-analysis is an important tool for understanding general patterns in the effect of predators on prey abundance across studies. Such an approach is especially valuable where management decisions need to be made in the absence of site-specific information.  2008 Holt et al."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch33"
"Jackson2016180","Net effects of multiple stressors in freshwater ecosystems: A meta-analysis",2016,1,1,"Global Change Biology","1354-1013",22,NA,"180-189","Jackson, M.C. and Loewen, C.J.G. and Vinebrooke, R.D. and Chimimba, C.T.","10.1111/gcb.13028","",NA,NA,"The accelerating rate of global change has focused attention on the cumulative impacts of novel and extreme environmental changes (i.e. stressors), especially in marine ecosystems. As integrators of local catchment and regional processes, freshwater ecosystems are also ranked highly sensitive to the net effects of multiple stressors, yet there has not been a large-scale quantitative synthesis. We analysed data from 88 papers including 286 responses of freshwater ecosystems to paired stressors and discovered that overall, their cumulative mean effect size was less than the sum of their single effects (i.e. an antagonistic interaction). Net effects of dual stressors on diversity and functional performance response metrics were additive and antagonistic, respectively. Across individual studies, a simple vote-counting method revealed that the net effects of stressor pairs were frequently more antagonistic (41%) than synergistic (28%), additive (16%) or reversed (15%). Here, we define a reversal as occurring when the net impact of two stressors is in the opposite direction (negative or positive) from that of the sum of their single effects. While warming paired with nutrification resulted in additive net effects, the overall mean net effect of warming combined with a second stressor was antagonistic. Most importantly, the mean net effects across all stressor pairs and response metrics were consistently antagonistic or additive, contrasting the greater prevalence of reported synergies in marine systems. Here, a possible explanation for more antagonistic responses by freshwater biota to stressors is that the inherent greater environmental variability of smaller aquatic ecosystems fosters greater potential for acclimation and co-adaptation to multiple stressors.  2016 John Wiley & Sons Ltd."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch34"
"Juliano2010325","Coexistence, exclusion, or neutrality? A meta-analysis of competition between Aedes albopictus and resident mosquitoes",2010,1,1,"Israel Journal of Ecology and Evolution","15659801 (ISSN)",56,NA,"325-351","Juliano, S.A.","10.1560/IJEE.55.3-4.325","",NA,NA,"Competition experiments estimating the relative effects of inter- and intraspecific competition can help to resolve whether interspecific competition results in coexistence or exclusion. For mosquitoes, most such experiments have focused on invasive Aedes albopictus and its interactions with resident Aedes. A meta-analysis of such experiments tested whether the effect of interspecific competition is greater than, less than, or equal to that of intraspecific competition, and whether competitive outcomes are dependent on food quality. For A. albopictus and A. aegypti, there was significant context dependence, with interspecific competitive advantage for A. albopictus with low food quality, and competitive equivalence with high food quality. Meta-analysis of survivorship yielded more significant effects than did estimated rate of increase. Competitive effects and competitive responses of each species yielded similar results. This meta-analysis suggests competitive exclusion of A. aegypti by A. albopictus, and is thus consistent with field sampling, qualitative reviews, and interpretations from individual publications. For A. albopictus and A. triseriatus, most results indicated competitive equivalence and no context dependence, and are thus contrary to previous qualitative reviews and to interpretations from individual publications. For both pairs of species, published results suitable for meta-analysis remain scarce, and better experimental designs and improved analysis and reporting of statistical results are needed. Greater emphasis needs to be placed on estimating species' inter- and intraspecific competitive effects, rather than the more common, but theoretically less interesting, competitive responses. Experiments without low-density controls (i.e., replacement series) are inadequate for comparing competitive effects and responses."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch35"
"Karst20081032","The mutualism-parasitism continuum in ectomycorrhizas: A quantitative assessment using meta-analysis",2008,1,1,"Ecology","0012-9658",89,NA,"1032-1042","Karst, J. and Marczak, L. and Jones, M.D. and Turkington, R.","10.1890/07-0823.1","",NA,NA,"Context dependency is deemed to position the outcomes of species interactions along a continuum of mutualism to parasitism. Thus, it is imperative to understand which factors determine where a particular interspecific interaction falls along the continuum. Over the past 20 years research on the ectomycorrhizal symbiosis has resulted in sufficient independent studies to now generalize about the factors and mechanisms that affect host response to ectomycorrhizas. Using meta-analysis we quantitatively evaluated the role of biotic (partner identity and colonization levels of ectomycorrhizal fungi) and abiotic (phosphorus levels) factors in determining host biomass, height, and shoot : root responses to ectomycorrhizal associations. On average, seedlings across multiple host genera increased in total biomass when inoculated with ectomycorrhizal fungi regardless of the identity of the fungal associate; host genera differed in the magnitude of response for both total biomass and shoot : root ratio. Association with different fungal genera modified only host allocation of biomass to shoots and roots. Neither level of colonization on inoculated seedlings nor the level of contamination on control seedlings relative to colonization levels by target fungi on inoculated seedlings was important in explaining variation in effect sizes for any growth response. None of our proposed factors (identity of partners, colonization level, magnitude of contamination, or duration of association) explained variation in effect sizes for shoot height, although in general seedlings were taller when inoculated with ectomycorrhizal fungi. Phosphorus additions did not influence effect sizes. Although the general trend across studies was for a positive response of hosts to ectomycorrhizal inoculation, publication bias and methodological issues effectively reduce and distort the spectrum on which we evaluate host responses to ectomycorrhizal inoculation. Our results indicate that the variation in ectomycorrhizal fungi perceived by the host may be of a discrete (presence/absence of ectomycorrhizal fungi) rather than continuous nature (variation in identity or abundance of ectomycorrhizal fungi).  2008 by the Ecological Society of America."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch36"
"Koricheva2013","Handbook of meta-analysis in ecology and evolution",2013,1,1,"Handbook of Meta-analysis in Ecology and Evolution",NA,NA,NA,NA,"Koricheva, J. and Gurevitch, J. and Mengersen, K.",NA,"",NA,NA,"Meta-analysis is a powerful statistical methodology for synthesizing research evidence across independent studies. This is the first comprehensive handbook of meta-analysis written specifically for ecologists and evolutionary biologists, and it provides an invaluable introduction for beginners as well as an up-to-date guide for experienced meta-analysts. The chapters, written by renowned experts, walk readers through every step of meta-analysis, from problem formulation to the presentation of the results. The handbook identifies both the advantages of using meta-analysis for research synthesis and the potential pitfalls and limitations of meta-analysis (including when it should not be used). Different approaches to carrying out a meta-analysis are described, and include moment and least-square, maximum likelihood, and Bayesian approaches, all illustrated using worked examples based on real biological datasets. This one-of-a-kind resource is uniquely tailored to the biological sciences, and will provide an invaluable text for practitioners from graduate students and senior scientists to policymakers in conservation and environmental management. Walks you through every step of carrying out a meta-analysis in ecology and evolutionary biology, from problem formulation to result presentation Brings together experts from a broad range of fields Shows how to avoid, minimize, or resolve pitfalls such as missing data, publication bias, varying data quality, nonindependence of observations, and phylogenetic dependencies among species Helps you choose the right software Draws on numerous examples based on real biological datasets.  2013 by Princeton University Press. All Rights Reserved."," RAYYAN-INCLUSION: {""Alfredo""=>true} | RAYYAN-LABELS: book","Gurevitch37"
"Krasnov2009175","Inferring associations among parasitic gamasid mites from census data",2009,1,1,"Oecologia","0029-8549",160,NA,"175-185","Krasnov, B.R. and Vinarski, M.V. and Korallo-Vinarskaya, N.P. and Mouillot, D. and Poulin, R.","10.1007/s00442-009-1278-0","",NA,NA,"Within a community, the abundance of any given species depends in large part on a network of direct and indirect, positive and negative interactions with other species, including shared enemies. In communities where experimental manipulations are often impossible (e.g., parasite communities), census data can be used to evaluate the strength or frequency of positive and negative associations among species. In ectoparasite communities, competitive associations can arise because of limited space or food, but facilitative associations can also exist if one species suppresses host immune defenses. In addition, positive associations among parasites could arise merely due to shared preferences for the same host, without any interaction going on. We used census data from 28 regional surveys of gamasid mites parasitic on small mammals throughout the Palaearctic, to assess how the abundance of individual mite species is influenced by the abundance and diversity of other mite species on the same host. After controlling for several confounding variables, the abundance of individual mite species was generally positively correlated with the combined abundances of all other mite species in the community. This trend was confirmed by meta-analysis of the results obtained for separate mite species. In contrast, there were generally no consistent relationships between the abundance of individual mite species and either the species richness or taxonomic diversity of the community in which they occur. These patterns were independent of mite feeding mode. Our results indicate either that synergistic facilitative interactions among mites increase the host's susceptibility to further attacks (e.g., via immunosuppression) and lead to different species all having increased abundance on the same host, or that certain characteristics make some host species preferred habitats for many parasite species.  2009 Springer-Verlag."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch38"
"Lajeunesse20112049","On the meta-analysis of response ratios for studies with correlated and multi-group designs",2011,1,1,"Ecology","0012-9658",92,NA,"2049-2055","Lajeunesse, M.J.","10.1890/11-0423.1","",NA,NA,"A common effect size metric used to quantify the outcome of experiments for ecological meta-analysis is the response ratio (RR): the log proportional change in the means of a treatment and control group. Estimates of the variance of RR are also important for meta-analysis because they serve as weights when effect sizes are averaged and compared. The variance of an effect size is typically a function of sampling error; however, it can also be influenced by study design. Here, I derive new variances and covariances for RR for several often-encountered experimental designs: when the treatment and control means are correlated; when multiple treatments have a common control; when means are based on repeated measures; and when the study has a correlated factorial design, or is multivariate. These developments are useful for improving the quality of data extracted from studies for metaanalysis and help address some of the common challenges meta-analysts face when quantifying a diversity of experimental designs with the response ratio.  2011 by the Ecological Society of America."," RAYYAN-INCLUSION: {""Alfredo""=>true}","Gurevitch39"
